algoritmo,n,patron,repeticiones,tiempo_ns,comparaciones,intercambios,semilla
Merge Sort,100000,ordenado decreciente,1,26550500,815024,3337856,0
Merge Sort,100000,ordenado decreciente,2,28324700,815024,3337856,0
Merge Sort,100000,ordenado decreciente,3,29553200,815024,3337856,0
Merge Sort,100000,ordenado decreciente,4,28426000,815024,3337856,0
Merge Sort,100000,ordenado decreciente,5,26848700,815024,3337856,0
Merge Sort,100000,ordenado decreciente,6,29132000,815024,3337856,0
Merge Sort,100000,ordenado decreciente,7,33148800,815024,3337856,0
Merge Sort,100000,ordenado decreciente,8,34058000,815024,3337856,0
Merge Sort,100000,ordenado decreciente,9,36090900,815024,3337856,0
Merge Sort,100000,ordenado decreciente,10,26828500,815024,3337856,0
Merge Sort,100000,ordenado decreciente,Resumen_de_tiempo:,,Media:,29896130,Mediana:,28779000,Desviacion:,3185888,minimo:,26550500,maximo:,36090900
